%time,field.data
1372160000000,cross-track error :0.0669273138046
1372180000000,cross-track error :0.0744822025299
1372220000000,cross-track error :0.0799148082733
1372260000000,cross-track error :0.0923025608063
1372290000000,cross-track error :0.104107379913
1372320000000,cross-track error :0.112241148949
1372360000000,cross-track error :0.125488638878
1372400000000,cross-track error :0.139521479607
1372430000000,cross-track error :0.154150247574
1372460000000,cross-track error :0.16245174408
1372480000000,cross-track error :0.173766255379
1372520000000,cross-track error :0.182490110397
1372540000000,cross-track error :0.196005940437
1372570000000,cross-track error :0.205624699593
1372610000000,cross-track error :0.216032385826
1372630000000,cross-track error :0.23061478138
1372660000000,cross-track error :0.237649083138
1372700000000,cross-track error :0.247485041618
1372730000000,cross-track error :0.265408635139
1372770000000,cross-track error :0.275012373924
1372790000000,cross-track error :0.290913701057
1372820000000,cross-track error :0.298741698265
1372850000000,cross-track error :0.307098031044
1372890000000,cross-track error :0.318185210228
1372910000000,cross-track error :0.329093813896
1372940000000,cross-track error :0.340404987335
1372990000000,cross-track error :0.348182201385
1373030000000,cross-track error :0.365722537041
1373060000000,cross-track error :0.378710746765
1373070000000,cross-track error :0.386471986771
1373110000000,cross-track error :0.391892194748
1373140000000,cross-track error :0.401957392693
1373160000000,cross-track error :0.408408284187
1373190000000,cross-track error :0.41254556179
1373220000000,cross-track error :0.419354557991
1373250000000,cross-track error :0.427394986153
1373280000000,cross-track error :0.433882951736
1373310000000,cross-track error :0.439662098885
1373350000000,cross-track error :0.444121360779
1373380000000,cross-track error :0.449217200279
1373410000000,cross-track error :0.450969576836
1373430000000,cross-track error :0.453789591789
1373440000000,cross-track error :0.454635381699
1373490000000,cross-track error :0.455785393715
1373530000000,cross-track error :0.458676457405
1373560000000,cross-track error :0.457218170166
1373600000000,cross-track error :0.456857442856
1373620000000,cross-track error :0.457676410675
1373650000000,cross-track error :0.456086874008
1373680000000,cross-track error :0.455216169357
1373700000000,cross-track error :0.452482461929
1373720000000,cross-track error :0.452368378639
1373740000000,cross-track error :0.450519442558
1373770000000,cross-track error :0.448488950729
1373810000000,cross-track error :0.445828557014
1373830000000,cross-track error :0.441208362579
1373870000000,cross-track error :0.438047647476
1373900000000,cross-track error :0.433362960815
1373940000000,cross-track error :0.427620887756
1373970000000,cross-track error :0.420086741447
1374030000000,cross-track error :0.415058970451
1374060000000,cross-track error :0.403321146965
1374080000000,cross-track error :0.396386861801
1374120000000,cross-track error :0.389483571053
1374150000000,cross-track error :0.38185095787
1374180000000,cross-track error :0.373145461082
1374250000000,cross-track error :0.365299582481
1374330000000,cross-track error :0.344490528107
1374350000000,cross-track error :0.317514538765
1374380000000,cross-track error :0.310650110245
1374410000000,cross-track error :0.301405906677
1374450000000,cross-track error :0.290718078613
1374480000000,cross-track error :0.280188322067
1374500000000,cross-track error :0.265729427338
1374560000000,cross-track error :0.258098602295
1374600000000,cross-track error :0.238353729248
1374660000000,cross-track error :0.217679381371
1374690000000,cross-track error :0.193407535553
1374720000000,cross-track error :0.182072758675
1374810000000,cross-track error :0.169897675514
1374860000000,cross-track error :0.134271502495
1374930000000,cross-track error :0.113553524017
1374950000000,cross-track error :0.0872085094452
1374980000000,cross-track error :0.0797462463379
1375000000000,cross-track error :0.0686959028244
1375030000000,cross-track error :0.0615266561508
1375060000000,cross-track error :0.0504499673843
1375110000000,cross-track error :0.0375708341599
1375150000000,cross-track error :0.0184341669083
1375200000000,cross-track error :0.00315618515015
1375260000000,cross-track error :-0.014223754406
1375330000000,cross-track error :-0.0385637879372
1375360000000,cross-track error :-0.056749522686
1375390000000,cross-track error :-0.0653630495071
1375420000000,cross-track error :-0.0746387243271
1375490000000,cross-track error :-0.0830585956573
1375560000000,cross-track error :-0.0985038280487
1375610000000,cross-track error :-0.115344405174
1375640000000,cross-track error :-0.125326514244
1375690000000,cross-track error :-0.134313583374
1375750000000,cross-track error :-0.143020093441
1375790000000,cross-track error :-0.156203687191
1375830000000,cross-track error :-0.163280844688
1375850000000,cross-track error :-0.169226288795
1375870000000,cross-track error :-0.172836899757
1375900000000,cross-track error :-0.177657186985
1375940000000,cross-track error :-0.181536734104
1375950000000,cross-track error :-0.186183691025
1375970000000,cross-track error :-0.189555764198
1376010000000,cross-track error :-0.191124022007
1376040000000,cross-track error :-0.197025239468
1376110000000,cross-track error :-0.201386749744
1376140000000,cross-track error :-0.206533491611
1376170000000,cross-track error :-0.210591733456
1376200000000,cross-track error :-0.21387141943
1376220000000,cross-track error :-0.214770972729
1376250000000,cross-track error :-0.215444028378
1376280000000,cross-track error :-0.21706444025
1376320000000,cross-track error :-0.218025922775
1376350000000,cross-track error :-0.21925419569
1376380000000,cross-track error :-0.220208406448
1376410000000,cross-track error :-0.219759762287
1376440000000,cross-track error :-0.220226466656
1376460000000,cross-track error :-0.219217002392
1376480000000,cross-track error :-0.219391465187
1376510000000,cross-track error :-0.219334483147
1376530000000,cross-track error :-0.218596160412
1376540000000,cross-track error :-0.216897249222
1376580000000,cross-track error :-0.216740548611
1376640000000,cross-track error :-0.214858353138
1376690000000,cross-track error :-0.211515963078
1376740000000,cross-track error :-0.208625614643
1376770000000,cross-track error :-0.204923272133
1376800000000,cross-track error :-0.202556192875
1376850000000,cross-track error :-0.199939668179
1376880000000,cross-track error :-0.195459067822
1376900000000,cross-track error :-0.191653549671
1376940000000,cross-track error :-0.190167307854
1376990000000,cross-track error :-0.186899900436
1377020000000,cross-track error :-0.180078744888
1377060000000,cross-track error :-0.176453709602
1377080000000,cross-track error :-0.170925378799
1377120000000,cross-track error :-0.168307721615
1377150000000,cross-track error :-0.164826512337
1377170000000,cross-track error :-0.158986508846
1377200000000,cross-track error :-0.157236158848
1377230000000,cross-track error :-0.153166055679
1377270000000,cross-track error :-0.149225533009
1377290000000,cross-track error :-0.142975986004
1377320000000,cross-track error :-0.139645695686
1377350000000,cross-track error :-0.136127650738
1377390000000,cross-track error :-0.131419122219
1377440000000,cross-track error :-0.126135230064
1377470000000,cross-track error :-0.117841660976
1377500000000,cross-track error :-0.114177942276
1377530000000,cross-track error :-0.110750436783
1377560000000,cross-track error :-0.106567084789
1377600000000,cross-track error :-0.100487232208
1377630000000,cross-track error :-0.0966122150421
1377670000000,cross-track error :-0.0928601622581
1377690000000,cross-track error :-0.0862078666687
1377720000000,cross-track error :-0.0844694375992
1377750000000,cross-track error :-0.0811084508896
1377780000000,cross-track error :-0.0767815113068
1377810000000,cross-track error :-0.0725284814835
1377830000000,cross-track error :-0.0690080523491
1377870000000,cross-track error :-0.0660353302956
1377890000000,cross-track error :-0.0615630745888
1377910000000,cross-track error :-0.0584371685982
1377930000000,cross-track error :-0.0564030408859
1377940000000,cross-track error :-0.0537391901016
1377970000000,cross-track error :-0.0509754419327
1377990000000,cross-track error :-0.0487440228462
1378040000000,cross-track error :-0.0468512773514
1378070000000,cross-track error :-0.0396077632904
1378090000000,cross-track error :-0.0364748835564
1378120000000,cross-track error :-0.0348508358002
1378140000000,cross-track error :-0.0300807952881
