%time,field.data
742630000000,cross-track error :0.000471830368042
742640000000,cross-track error :4.1127204895e-05
742660000000,cross-track error :0.000405788421631
742680000000,cross-track error :0.000748634338379
742700000000,cross-track error :0.00083601474762
742730000000,cross-track error :0.000569581985474
742750000000,cross-track error :-0.000371992588043
742780000000,cross-track error :0.000186800956726
742800000000,cross-track error :0.000292301177979
742820000000,cross-track error :-0.00131392478943
742840000000,cross-track error :-3.21865081787e-05
742860000000,cross-track error :0.000222206115723
742880000000,cross-track error :-0.000254273414612
742900000000,cross-track error :-0.00159639120102
742920000000,cross-track error :-0.000229239463806
742940000000,cross-track error :-4.53591346741e-05
742960000000,cross-track error :-0.00160580873489
742980000000,cross-track error :7.43865966797e-05
743000000000,cross-track error :-0.00150209665298
743020000000,cross-track error :-0.000748097896576
743040000000,cross-track error :-0.00155514478683
743060000000,cross-track error :-0.00286042690277
743070000000,cross-track error :-0.0030489563942
743100000000,cross-track error :-0.00126194953918
743130000000,cross-track error :-0.00186192989349
743150000000,cross-track error :-0.00268656015396
743180000000,cross-track error :-0.00197458267212
743200000000,cross-track error :-0.00420922040939
743220000000,cross-track error :-0.00257033109665
743240000000,cross-track error :-0.00317889451981
743260000000,cross-track error :-0.00344717502594
743280000000,cross-track error :-0.00382989645004
743300000000,cross-track error :-0.00372022390366
743330000000,cross-track error :-0.00386500358582
743350000000,cross-track error :-0.00509357452393
743380000000,cross-track error :-0.0043311715126
743390000000,cross-track error :-0.00557059049606
743410000000,cross-track error :-0.00482511520386
743430000000,cross-track error :-0.00487804412842
743460000000,cross-track error :-0.00548708438873
743480000000,cross-track error :-0.00667095184326
743500000000,cross-track error :-0.00636893510818
743520000000,cross-track error :-0.00649708509445
743540000000,cross-track error :-0.0076510310173
743560000000,cross-track error :-0.00776547193527
743570000000,cross-track error :-0.00685721635818
743590000000,cross-track error :-0.00871253013611
743620000000,cross-track error :-0.00784820318222
743630000000,cross-track error :-0.00656968355179
743650000000,cross-track error :-0.0076150894165
743670000000,cross-track error :-0.00806283950806
743690000000,cross-track error :-0.00758296251297
743710000000,cross-track error :-0.00858110189438
743730000000,cross-track error :-0.00809091329575
743760000000,cross-track error :-0.00925672054291
743780000000,cross-track error :-0.0102011561394
743800000000,cross-track error :-0.0093640089035
743820000000,cross-track error :-0.00913685560226
743840000000,cross-track error :-0.010949909687
743860000000,cross-track error :-0.0110290646553
743880000000,cross-track error :-0.0110892653465
743900000000,cross-track error :-0.0106133818626
743910000000,cross-track error :-0.0103584527969
743930000000,cross-track error :-0.0118250846863
743970000000,cross-track error :-0.0112962126732
743990000000,cross-track error :-0.0117414593697
744010000000,cross-track error :-0.0120710730553
744030000000,cross-track error :-0.0121776461601
744050000000,cross-track error :-0.0121371746063
744070000000,cross-track error :-0.0136776566505
744090000000,cross-track error :-0.0132684707642
744120000000,cross-track error :-0.012640953064
744140000000,cross-track error :-0.0138669013977
744160000000,cross-track error :-0.0137469172478
744180000000,cross-track error :-0.0137365460396
744200000000,cross-track error :-0.0146772861481
744220000000,cross-track error :-0.0149434804916
744240000000,cross-track error :-0.0158423185349
744260000000,cross-track error :-0.0146582722664
744280000000,cross-track error :-0.0150104165077
744300000000,cross-track error :-0.0150463581085
744320000000,cross-track error :-0.0159389972687
744340000000,cross-track error :-0.0157551169395
744360000000,cross-track error :-0.017034471035
744390000000,cross-track error :-0.0166727900505
744400000000,cross-track error :-0.01745647192
744430000000,cross-track error :-0.0172343850136
744450000000,cross-track error :-0.0159983038902
744460000000,cross-track error :-0.0167694687843
744480000000,cross-track error :-0.0182163119316
744510000000,cross-track error :-0.0180527567863
744530000000,cross-track error :-0.0177528858185
744550000000,cross-track error :-0.0176318287849
744590000000,cross-track error :-0.0181800723076
744640000000,cross-track error :-0.0182322859764
744670000000,cross-track error :-0.0185533165932
744690000000,cross-track error :-0.0192930102348
744710000000,cross-track error :-0.0190387964249
744750000000,cross-track error :-0.0191278457642
744780000000,cross-track error :-0.0194744467735
744800000000,cross-track error :-0.0198883414268
744820000000,cross-track error :-0.0190792679787
744860000000,cross-track error :-0.0201051831245
744880000000,cross-track error :-0.0199075341225
744900000000,cross-track error :-0.0197640061378
744920000000,cross-track error :-0.020294547081
744940000000,cross-track error :-0.0211541652679
744950000000,cross-track error :-0.0200861692429
744970000000,cross-track error :-0.0197437405586
745000000000,cross-track error :-0.0214184522629
745010000000,cross-track error :-0.0202485918999
745030000000,cross-track error :-0.0181521177292
745060000000,cross-track error :-0.0164222121239
745080000000,cross-track error :-0.0146353244781
